"X1";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"hsa-miR-184";4,13738921251958;-0,439889347991089;1,1464604219538;-0,383693444245924;0,701205672139233;0,908525225961845
"hsa-miR-185-3p";4,98073623938224;0,363265453809225;0,326458004400892;1,11274788460427;0,265816723661576;0,640086670577075
"hsa-miR-185-5p";810,400495072666;0,105111800520308;0,0882725542255938;1,19076423518548;0,23374615286109;0,602478339582191
"hsa-miR-186-3p";0,566636981308165;0,368630456507668;1,10495561327078;0,333615624085101;0,738669626800256;NA
"hsa-miR-186-5p";67,0047410291166;0,264367565867256;0,126992246193828;2,08176147592313;0,0373642622078005;0,263000381046655
"hsa-miR-188-5p";0,68375714017237;0,0548845605182783;1,07781274613872;0,0509221668744436;0,959387541811012;NA
"hsa-miR-18a-5p";10,6793415028417;-0,0463639020258546;0,230686696686848;-0,20098212290409;0,840712552705107;0,959459294086836
"hsa-miR-1908-5p";68,773598476797;-0,0145884180293576;0,11884548571189;-0,122751133052908;0,902304171682215;0,973453604574719
"hsa-miR-190a-3p";0,547762768036669;-0,940689412110012;1,43988603397636;-0,653308241008646;0,513557580640011;NA
"hsa-miR-190a-5p";50,4425965404327;0,401766339645738;0,180389541926851;2,22721525513191;0,0259328910570516;0,229582359063898
"hsa-miR-190b-5p";4,02687301287904;0,316975218780532;0,410239551198083;0,772658847385198;0,439724307572991;0,768032468119726
"hsa-miR-191-3p";3,34187698949668;0,415908418508474;0,359670885842013;1,15635831222426;0,247534625801957;0,610720675134335
"hsa-miR-191-5p";4721,40906237875;0,241052653001692;0,075557497583633;3,19032075850416;0,00142114965739482;0,0305547176339886
"hsa-miR-1914-5p";0,448837439041837;-0,523522009509103;1,17227880760456;-0,446584896112614;0,655174802976465;NA
"hsa-miR-192-5p";6,94777909451842;-0,125134706284271;0,298761490932247;-0,418844831352944;0,675329538229541;0,908525225961845
"hsa-miR-193a-5p";1,28398898475164;0,119715826907226;0,691726721761464;0,173068096317535;0,862597901950352;NA
"hsa-miR-194-5p";4,87517006056321;-0,353819344410449;0,329922196655039;-1,07243267654524;0,283525737619996;0,656471130950914
"hsa-miR-195-5p";0,892673818843001;-0,734211937764197;0,974877343800946;-0,753132629897399;0,451370218232776;NA
"hsa-miR-196b-5p";25,5965592587516;-0,0433789623801671;0,165419020129253;-0,262236847650725;0,793138846798948;0,950653000718188
"hsa-miR-197-3p";10,3836341128632;-0,273704457160598;0,234569270501363;-1,16683850606513;0,24327559344231;0,610216280217795
"hsa-miR-199a-5p";332,817119561593;0,2864389747255;0,0831483887393349;3,44491311339139;0,000571242981676462;0,0171944137484615
"hsa-miR-199b-5p";1,78783034481429;0,180736623666914;0,53145059200845;0,340081705401581;0,733794998542619;0,928034851098018
"hsa-miR-19a-3p";202,866090570396;-0,500619954663115;0,176569131330667;-2,83526316797463;0,0045787950195794;0,0599224913431913
"hsa-miR-19b-1-5p";1,22232625598817;0,125418030758264;0,64568293173294;0,194240895328696;0,845987262774549;NA
