;DBO.33;DBO.34;DBO.35;DBO.36;DBO.43;DBO.44;DBO.47;DBO.48;DBO.51;DBO.52;DBO.55;DBO.56;DBO.61;DBO.62;DBO.73;DBO.74;DBO.77;DBO.78;DBO.81;DBO.82
hsa-miR-1287-5p;3,213697417;2,555028986;2,555028986;3,662141836;3,210484289;2,555028986;3,325205327;3,352043066;2,555028986;3,253171485;3,675726016;3,23750614;3,581755911;3,12062091;2,555028986;3,450307704;3,680471447;3,886618046;2,555028986;2,555028986
hsa-miR-1290;4,993593974;4,987811559;5,843665648;5,921389612;5,148151986;4,682075965;6,273032485;5,739296345;11,00305027;10,99891692;12,58947761;11,83635274;7,472777734;8,205754688;6,212720339;6,170484661;5,908744065;5,868820216;4,768515109;5,568810253
hsa-miR-1296-5p;2,555028986;2,980069334;3,092892362;3,420745234;2,555028986;3,132418028;3,632020121;3,122138887;3,140044007;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;3,215619227;2,555028986;2,555028986;3,106002321
hsa-miR-1301-3p;4,271523923;3,656689745;4,021242213;3,936639814;3,671993356;4,841662637;3,859968736;4,469392191;4,046191027;3,990548528;4,104527953;4,158556209;3,448726168;3,900083109;4,51196362;4,450016078;3,215619227;4,11064688;4,628260025;4,42089819
hsa-miR-1304-3p;3,91367652;3,859135618;3,092892362;4,086498758;3,671993356;3,366309161;3,325205327;2,555028986;4,046191027;4,192530954;3,675726016;3,619873707;3,448726168;3,900083109;3,531177434;2,555028986;2,555028986;2,555028986;2,555028986;3,759276608
hsa-miR-1304-5p;4,045957667;4,174903738;4,441832309;4,54580396;4,727522223;4,563658391;4,640769439;4,259145383;4,52271333;3,990548528;4,104527953;3,511603128;3,979326299;4,176062044;4,51196362;4,606186896;4,110820573;3,753967133;4,078663879;4,287531073
hsa-miR-1306-5p;5,990019785;5,919035142;5,82252915;6,116860196;5,978105517;5,94843065;6,652338599;6,408268736;7,187132126;6,13336831;6,759792079;6,840709904;6,537107271;6,385676014;6,675847237;6,541745665;6,613435124;7,300642703;7,210176711;6,895389028
hsa-miR-1307-3p;6,059622901;6,147033245;6,421584526;6,038658198;6,189492238;6,176477155;6,468225322;7,003418904;6,608933465;6,71067711;7,09821315;6,315631328;6,329001615;6,235250219;7,129914871;6,261731937;7,04283038;5,921422558;6,678810021;6,152450377
hsa-miR-130a-3p;10,80651989;11,01398437;11,65451689;11,70928885;11,15086656;11,27475915;11,1100619;11,27271321;11,47166143;11,55276183;11,34103618;11,17841302;10,11108997;10,35625762;10,85922994;10,16995815;10,6973909;10,31169814;10,87863564;10,48032241
hsa-miR-130a-5p;3,022782068;3,492318011;3,311403136;3,762257255;3,671993356;3,366309161;3,10281927;3,352043066;2,555028986;3,533170802;3,675726016;3,511603128;3,448726168;3,12062091;3,739914033;2,555028986;2,555028986;2,555028986;2,555028986;3,329629233
hsa-miR-130b-3p;8,504389416;8,428750136;8,849275879;8,866214174;8,371863378;8,866367775;7,868494899;8,41343291;8,37074452;8,476368875;9,089638806;8,507935041;8,064602223;8,288316512;8,397584697;8,246624939;8,135447557;7,339495835;8,065888272;7,532075446
hsa-miR-130b-5p;6,804510615;6,691939069;6,688497776;6,947206792;7,23814855;7,019869155;6,482191303;6,408268736;7,553864698;7,076650693;7,620181166;7,473290295;7,661731366;7,541528713;7,625149842;8,119001188;7,211258891;7,788625749;8,013323614;7,7572229
hsa-miR-132-3p;3,213697417;3,153992122;2,555028986;3,265340252;3,210484289;2,555028986;3,492935468;2,555028986;2,555028986;2,555028986;3,477462405;2,555028986;3,893575935;3,349935536;3,251722881;2,555028986;3,215619227;2,555028986;2,555028986;3,329629233
hsa-miR-133a-5p;3,022782068;3,153992122;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;3,522706452;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986
hsa-miR-134-3p;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;3,366309161;3,10281927;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;3,076452259;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986
hsa-miR-134-5p;4,164209516;4,174903738;4,968507476;4,393134118;7,153003594;6,157192939;7,775509348;7,611352047;5,622302543;5,94746231;5,836177787;5,621684527;7,225556902;6,943516789;7,562484728;7,352501306;5,215443595;5,814184806;6,201082767;5,942831699
hsa-miR-1343-3p;3,213697417;3,728924343;3,93332038;4,154542538;3,47434292;3,542400682;4,206125255;4,532236426;3,376887026;3,990548528;3,979876187;4,217722105;3,076452259;3,349935536;3,251722881;2,555028986;3,215619227;3,167292986;2,555028986;3,759276608
hsa-miR-135a-5p;2,555028986;2,980069334;2,555028986;3,420745234;2,555028986;2,555028986;3,10281927;3,122138887;2,555028986;2,555028986;2,555028986;3,511603128;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;3,167292986;2,555028986;3,964870591
hsa-miR-136-3p;2,555028986;3,286040622;2,555028986;3,265340252;4,211631137;4,624228205;4,411283192;4,532236426;4,455149224;3,533170802;3,477462405;3,387123554;3,581755911;4,254995528;4,059028637;4,061340153;2,555028986;3,753967133;3,46118584;3,759276608
hsa-miR-136-5p;3,022782068;3,153992122;3,092892362;2,555028986;3,47434292;3,926560297;3,859968736;3,668707193;3,943630251;4,061955403;3,979876187;3,716542101;4,133053582;3,522706452;4,843791912;3,802345232;3,215619227;4,004328361;4,470829646;3,867155552
hsa-miR-138-1-3p;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;3,387123554;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986
hsa-miR-139-3p;3,478777215;2,980069334;3,311403136;3,05980467;3,47434292;2,555028986;2,555028986;3,525242151;3,140044007;3,406050547;2,555028986;3,23750614;3,697255579;3,900083109;3,251722881;2,555028986;4,110820573;3,60045415;3,46118584;3,329629233
hsa-miR-139-5p;6,890598404;6,854940714;6,722870356;6,261441866;6,307256579;6,339209788;6,102301868;6,327531428;6,320058189;6,999483855;5,73766339;6,882371126;7,552553212;7,676799914;5,565439941;5,092032962;6,107009619;6,136606295;6,644557491;6,238391165
hsa-miR-140-3p;7,269050867;7,024310132;7,018524009;6,972531467;6,937071342;7,22731038;6,700870021;6,827200828;7,011710262;7,374204548;6,506341087;7,191511005;6,750393035;6,820140777;6,733998967;6,261731937;7,174105161;6,712864927;6,776914761;6,604249375
hsa-miR-140-5p;4,370004102;5,035344987;5,045217841;4,805375307;5,198825805;5,028382531;4,96474453;3,903494806;4,226976084;4,309992652;3,477462405;4,609212076;4,446984805;4,39880432;4,306678434;4,450016078;5,056777074;4,297734177;5,216342742;4,702906986
hsa-miR-141-3p;3,022782068;2,980069334;2,555028986;2,555028986;2,555028986;2,555028986;3,325205327;2,555028986;2,555028986;2,555028986;2,555028986;3,039841164;2,555028986;3,12062091;2,555028986;2,555028986;2,555028986;3,167292986;2,555028986;2,555028986
hsa-miR-142-3p;11,27951405;11,38379935;11,29808251;10,64235267;11,128774;11,12874816;10,47749323;10,3968734;10,1821778;9,92309854;10,51126808;9,15074862;9,912802;9,767653195;9,745666114;10,07938337;9,644494782;10,42990374;10,09298776;9,845652875
hsa-miR-142-5p;10,30347253;10,11996209;9,959845619;10,07794051;10,1668202;10,25983861;9,651115745;9,645533322;10,10727644;10,79753283;10,50757807;9,563494559;9,512417621;9,779716422;9,571139921;9,798162011;9,678005447;9,37009934;9,512564522;9,140472007
hsa-miR-143-3p;6,469893225;6,640683972;6,476411696;5,938748063;5,763136241;5,94843065;7,020389042;6,861931525;6,608933465;7,272982027;5,804098069;5,790358095;6,034541866;5,65555962;5,975120195;5,795160714;6,650045013;6,380690837;5,695259589;5,336190736
hsa-miR-143-5p;3,022782068;2,555028986;2,555028986;3,05980467;2,555028986;2,555028986;3,10281927;3,352043066;2,555028986;3,253171485;2,555028986;2,555028986;2,555028986;2,555028986;3,251722881;2,555028986;2,555028986;3,167292986;3,46118584;3,106002321
hsa-miR-144-3p;3,213697417;3,396220833;3,092892362;3,05980467;3,210484289;4,207033222;2,555028986;3,122138887;3,140044007;3,051074119;3,212744619;2,555028986;2,555028986;2,555028986;2,555028986;3,802345232;3,481428941;3,60045415;2,555028986;2,555028986
hsa-miR-144-5p;4,416419753;4,459505218;4,441832309;4,154542538;4,983724495;4,938272054;3,859968736;3,903494806;3,943630251;3,643678197;3,477462405;4,379404569;3,288527189;3,66582906;4,413571689;3,802345232;3,481428941;4,11064688;3,46118584;3,498263325
hsa-miR-145-3p;3,762465377;3,286040622;3,476306879;3,420745234;2,555028986;2,555028986;3,325205327;2,555028986;3,55511652;3,914157453;2,555028986;3,039841164;3,076452259;3,349935536;3,531177434;2,555028986;2,555028986;2,555028986;3,81707065;2,555028986
hsa-miR-145-5p;6,859887876;6,762120665;6,194910196;6,367397937;6,83133231;6,886331241;6,951942417;7,548883567;8,013965748;8,275355261;5,986490762;6,882371126;6,718755884;7,234409465;6,878444579;6,504948335;7,247476907;6,770964784;6,378667456;5,963220053
hsa-miR-1468-5p;3,022782068;2,555028986;2,555028986;3,05980467;2,555028986;3,688176665;2,555028986;3,122138887;2,555028986;3,051074119;2,555028986;2,555028986;3,076452259;2,555028986;3,251722881;2,555028986;2,555028986;3,414641096;2,555028986;3,498263325
hsa-miR-146a-5p;10,07749042;9,8759525;10,24855816;10,00430147;9,967849123;9,933766667;10,28269541;9,98501921;10,23121156;9,62537513;9,386090606;9,989530982;9,128224387;8,605481858;10,14870052;10,42908234;10,04287295;10,29944992;10,50336335;10,47417577
hsa-miR-146b-5p;7,365015864;7,012852797;7,78569157;7,516404713;7,384031852;7,299078877;6,523289285;6,454608122;7,394817317;7,038585216;7,496442575;7,371786531;7,374875757;6,8998697;7,485752506;7,452236353;7,595270962;7,31045479;7,48589905;7,476874605
hsa-miR-148a-3p;3,478777215;3,492318011;3,83751626;3,549907366;3,210484289;3,366309161;3,10281927;3,122138887;3,376887026;3,533170802;3,212744619;3,039841164;3,800203191;4,091394866;3,739914033;2,555028986;3,215619227;3,886618046;2,555028986;3,759276608
